design,target,folds,fold,method,n_test,r2,rmse,secs
real,MDD_Mgm3,loso,figshare:10.6084/m9.figshare.28681187,hgb,395,0.41669444514891696,0.13790047732539132,0.2372441291809082
real,MDD_Mgm3,loso,figshare:10.6084/m9.figshare.28681187,tabpfn,395,0.4956402292624744,0.12822949521101565,22.662678956985474
real,MDD_Mgm3,loso,figshare:10.6084/m9.figshare.28681187,m_mask,395,0.49168464083184793,0.12873135172962288,22.141536951065063
real,MDD_Mgm3,loso,figshare:10.6084/m9.figshare.28681187,m_mask_bias,395,0.4924478197182053,0.12863467753752175,30.02273917198181
real,MDD_Mgm3,loso,figshare:10.6084/m9.figshare.32955851,hgb,169,0.19616578579051935,0.1549887331489301,0.6972222328186035
real,MDD_Mgm3,loso,figshare:10.6084/m9.figshare.32955851,tabpfn,169,0.22667604387075613,0.15201891086378905,29.71063494682312
real,MDD_Mgm3,loso,figshare:10.6084/m9.figshare.32955851,m_mask,169,0.22638903378294994,0.15204711826191827,31.50179386138916
real,MDD_Mgm3,loso,figshare:10.6084/m9.figshare.32955851,m_mask_bias,169,0.2226885988195555,0.1524103300556608,36.65460515022278
real,MDD_Mgm3,loso,ltpp-sdr39,hgb,1976,0.6076797833664547,0.13172818533215735,0.8874249458312988
real,MDD_Mgm3,loso,ltpp-sdr39,tabpfn,1976,0.3809444545464038,0.16547148868261888,27.110503911972046
real,MDD_Mgm3,loso,ltpp-sdr39,m_mask,1976,0.37976740800734665,0.1656287242906566,32.29303789138794
real,MDD_Mgm3,loso,ltpp-sdr39,m_mask_bias,1976,0.39278404845809267,0.163881507744911,36.71640110015869
real,MDD_Mgm3,loso,zenodo:10.5281/zenodo.14251190,hgb,38,0.1846076173946346,0.08562449769644626,2.0658509731292725
real,MDD_Mgm3,loso,zenodo:10.5281/zenodo.14251190,tabpfn,38,0.24496454466248074,0.08239453076162813,42.90165901184082
real,MDD_Mgm3,loso,zenodo:10.5281/zenodo.14251190,m_mask,38,0.23997690535811333,0.08266622512758033,42.82764029502869
real,MDD_Mgm3,loso,zenodo:10.5281/zenodo.14251190,m_mask_bias,38,0.23718291733346897,0.08281803404173192,40.65015697479248
real,MDD_Mgm3,loso,zenodo:10.5281/zenodo.19242689,hgb,7,-0.022917704140897888,0.14862659733221764,1.5420200824737549
real,MDD_Mgm3,loso,zenodo:10.5281/zenodo.19242689,tabpfn,7,-0.4247836210518847,0.17540850395073365,45.709381103515625
real,MDD_Mgm3,loso,zenodo:10.5281/zenodo.19242689,m_mask,7,-0.4222382479024114,0.1752517504350345,45.55250692367554
real,MDD_Mgm3,loso,zenodo:10.5281/zenodo.19242689,m_mask_bias,7,-0.4315316111264482,0.17582339384814544,59.64146304130554
real,MDD_Mgm3,loso,zenodo:10.5281/zenodo.20737270,hgb,269,0.6547658683798735,0.13104634450946767,2.3721370697021484
real,MDD_Mgm3,loso,zenodo:10.5281/zenodo.20737270,tabpfn,269,0.6649294778022747,0.12910294801867078,51.76461911201477
real,MDD_Mgm3,loso,zenodo:10.5281/zenodo.20737270,m_mask,269,0.6651219972653942,0.12906585373583832,52.73704695701599
real,MDD_Mgm3,loso,zenodo:10.5281/zenodo.20737270,m_mask_bias,269,0.6658716553240875,0.128921309354974,65.89062285423279
real,MDD_Mgm3,group5,fold0,hgb,571,0.7387179214447144,0.11648753067588813,2.935664176940918
real,MDD_Mgm3,group5,fold0,tabpfn,571,0.7580338347952074,0.11209905429798506,73.72175002098083
real,MDD_Mgm3,group5,fold0,m_mask,571,0.7580443805624292,0.11209661142872579,96.60935020446777
real,MDD_Mgm3,group5,fold0,m_mask_bias,571,0.757206297068314,0.11229058317447026,70.72556114196777
real,MDD_Mgm3,group5,fold1,hgb,571,0.7425469609490387,0.10995966645682144,4.575933933258057
real,MDD_Mgm3,group5,fold1,tabpfn,571,0.7501970908830439,0.1083136393213306,82.05370759963989
real,MDD_Mgm3,group5,fold1,m_mask,571,0.7506895379454475,0.10820682501948817,69.6924180984497
real,MDD_Mgm3,group5,fold1,m_mask_bias,571,0.7496962628137163,0.10842216357484355,99.08923888206482
real,MDD_Mgm3,group5,fold2,hgb,571,0.5535125572971926,0.13133752472742005,5.957056045532227
