seed,dataset,design,method,r2,rmse,missing_frac,secs
0,friedman1_7f,none,hgb,0.9083834454298976,1.4561219061896806,0.0,0.14473223686218262
0,friedman1_7f,none,tabpfn,0.9872778450077,0.5426141302227554,0.0,2.757984161376953
0,friedman1_7f,none,tabpfn_mean,0.9872778450077,0.5426141302227554,0.0,1.928420066833496
0,friedman1_7f,none,m_mask,0.9872778345570051,0.5426143530896186,0.0,2.2904770374298096
0,friedman1_7f,none,m_mask_bias,0.9872778372222242,0.5426142962523529,0.0,3.0127179622650146
0,friedman1_7f,none,m_bias,0.9872778622009342,0.5426137635673036,0.0,3.5960309505462646
0,friedman1_7f,mcar30,hgb,0.5822440788794554,3.10936757245885,0.30904761904761907,0.23859095573425293
0,friedman1_7f,mcar30,tabpfn,0.6505469836111062,2.843839975210033,0.30904761904761907,3.9883949756622314
0,friedman1_7f,mcar30,tabpfn_mean,0.6177107871371146,2.9744507316688975,0.30904761904761907,5.287753105163574
0,friedman1_7f,mcar30,m_mask,0.6487541543428534,2.8511256426377956,0.30904761904761907,6.405734062194824
0,friedman1_7f,mcar30,m_mask_bias,0.6517644194272345,2.8388819219558927,0.30904761904761907,8.100713014602661
0,friedman1_7f,mcar30,m_bias,0.6540554335953656,2.8295281229868827,0.30904761904761907,7.981261968612671
0,friedman1_7f,mcar50,hgb,0.28524385449021294,4.067145478048702,0.505,0.7701461315155029
0,friedman1_7f,mcar50,tabpfn,0.4113299915324754,3.69102267255388,0.505,7.7743980884552
0,friedman1_7f,mcar50,tabpfn_mean,0.3455407405949008,3.891813912097004,0.505,6.19356107711792
0,friedman1_7f,mcar50,m_mask,0.41341479626742417,3.684480903279202,0.505,6.661503076553345
0,friedman1_7f,mcar50,m_mask_bias,0.4039906478589841,3.713960625477513,0.505,7.107335805892944
0,friedman1_7f,mcar50,m_bias,0.40322606208244427,3.716342074140672,0.505,6.270550966262817
0,friedman1_7f,block3-4of7,hgb,0.3607617478208949,3.8462909727532018,0.4990476190476191,0.3569958209991455
0,friedman1_7f,block3-4of7,tabpfn,0.4328437012387648,3.6229483094035437,0.4990476190476191,5.453886985778809
0,friedman1_7f,block3-4of7,tabpfn_mean,0.42158276520443005,3.6587385000449957,0.4990476190476191,5.473612070083618
0,friedman1_7f,block3-4of7,m_mask,0.4332206857296047,3.621744036118867,0.4990476190476191,5.184326887130737
0,friedman1_7f,block3-4of7,m_mask_bias,0.4282460714352807,3.637603311932369,0.4990476190476191,5.20905613899231
0,friedman1_7f,block3-4of7,m_bias,0.4280478667742975,3.6382337644936116,0.4990476190476191,4.438633918762207
0,friedman1_7f,block2-5,hgb,0.2881299797109491,4.058925776296643,0.5697619047619048,0.23463702201843262
0,friedman1_7f,block2-5,tabpfn,0.42217742520101254,3.656857275920593,0.5697619047619048,3.672071933746338
0,friedman1_7f,block2-5,tabpfn_mean,0.41226287023653707,3.688096889314186,0.5697619047619048,3.4763216972351074
0,friedman1_7f,block2-5,m_mask,0.42399168120997655,3.651111834738095,0.5697619047619048,4.077426910400391
0,friedman1_7f,block2-5,m_mask_bias,0.42328058436912475,3.653364834567401,0.5697619047619048,3.879502058029175
0,friedman1_7f,block2-5,m_bias,0.4219573219100149,3.6575536918463616,0.5697619047619048,3.3226828575134277
0,diabetes,none,hgb,0.2774190515259384,60.71441772751624,0.0,0.18578815460205078
0,diabetes,none,tabpfn,0.385385845863748,55.99507874245946,0.0,3.198267936706543
0,diabetes,none,tabpfn_mean,0.385385845863748,55.99507874245946,0.0,3.2297258377075195
0,diabetes,none,m_mask,0.38538587395587365,55.99507746277789,0.0,3.4706649780273438
0,diabetes,none,m_mask_bias,0.38538556543334646,55.995091516913575,0.0,3.5950911045074463
0,diabetes,none,m_bias,0.3853856293236074,55.99508860651894,0.0,3.4232630729675293
0,diabetes,mcar30,hgb,0.08057187737269256,68.48689431568653,0.3074660633484163,0.1833031177520752
0,diabetes,mcar30,tabpfn,0.2511519469301646,61.80810569106822,0.3074660633484163,3.4593052864074707
0,diabetes,mcar30,tabpfn_mean,0.23149271452804732,62.614162414291876,0.3074660633484163,3.649721145629883
0,diabetes,mcar30,m_mask,0.25448777796253996,61.670286327183575,0.3074660633484163,4.275609970092773
0,diabetes,mcar30,m_mask_bias,0.2503819488871153,61.83987441400667,0.3074660633484163,4.48115086555481
0,diabetes,mcar30,m_bias,0.2465652912264924,61.99710246380445,0.3074660633484163,3.4659550189971924
0,diabetes,mcar50,hgb,0.19223400627723564,64.19354561595698,0.5036199095022624,0.16187810897827148
0,diabetes,mcar50,tabpfn,0.33856149060065877,58.08892227193511,0.5036199095022624,3.3605411052703857
0,diabetes,mcar50,tabpfn_mean,0.35078941143580544,57.54947660319957,0.5036199095022624,3.542820930480957
0,diabetes,mcar50,m_mask,0.3362271167025209,58.19133680508797,0.5036199095022624,3.851578712463379
0,diabetes,mcar50,m_mask_bias,0.3331347086192461,58.32673120032218,0.5036199095022624,4.133538007736206
