dataset,design,method,r2_mean,r2_std,rmse_mean,n
compaction_MDD,block2-5,hgb,0.5232703627148565,0.04954985410904492,0.1524067601116776,3
compaction_MDD,block2-5,m_bias,0.559533948342969,0.026779444699717006,0.146706555742576,3
compaction_MDD,block2-5,m_mask,0.563986378995992,0.023210812796705175,0.14598613500808624,3
compaction_MDD,block2-5,m_mask_bias,0.5600364016977349,0.02710697273432408,0.14661767889346264,3
compaction_MDD,block2-5,tabpfn,0.5635697398664288,0.02287834381782721,0.14605553995120668,3
compaction_MDD,block2-5,tabpfn_mean,0.5573651872536548,0.030078676776818383,0.14700127249364042,3
compaction_MDD,block3-4of7,hgb,0.4805931021801821,0.025959526416964973,0.15936515021615605,3
compaction_MDD,block3-4of7,m_bias,0.5319809501323783,0.038086022965016696,0.1511061427655439,3
compaction_MDD,block3-4of7,m_mask,0.5366441574990786,0.04182578966924046,0.1503191528422988,3
compaction_MDD,block3-4of7,m_mask_bias,0.5316682215815195,0.0384992329533734,0.151154507585339,3
compaction_MDD,block3-4of7,tabpfn,0.5366361372767997,0.04186466689209151,0.15032446113153097,3
compaction_MDD,block3-4of7,tabpfn_mean,0.5343540832008021,0.02872870429754541,0.15079266391031473,3
compaction_MDD,mcar30,hgb,0.5862913992503591,0.03342317097283423,0.1422681799277479,3
compaction_MDD,mcar30,m_bias,0.6566909645095453,0.03918769867781313,0.12957844379752737,3
compaction_MDD,mcar30,m_mask,0.6604928443765408,0.04284935854812884,0.12882627210409459,3
compaction_MDD,mcar30,m_mask_bias,0.6563287219343298,0.0396766497108512,0.1296321178837309,3
compaction_MDD,mcar30,tabpfn,0.6608321836923073,0.04213893847633897,0.12877870150574575,3
compaction_MDD,mcar30,tabpfn_mean,0.6381512318291093,0.049260102821988797,0.13296435533034537,3
compaction_MDD,mcar50,hgb,0.4549781810374213,0.04533216260255042,0.16332081144768343,3
compaction_MDD,mcar50,m_bias,0.5294524827514974,0.04156617522708914,0.15179098330542393,3
compaction_MDD,mcar50,m_mask,0.5324697198302554,0.040359830226002744,0.1512738749398813,3
compaction_MDD,mcar50,m_mask_bias,0.5293016770384585,0.03927958743002918,0.15180687376721394,3
compaction_MDD,mcar50,tabpfn,0.5329427038373704,0.04146349133885757,0.15120742708905033,3
compaction_MDD,mcar50,tabpfn_mean,0.4990502192381772,0.03930759924835192,0.15656196023025026,3
compaction_MDD,none,hgb,0.741153571968597,0.05154836604448571,0.11248279480541283,3
compaction_MDD,none,m_bias,0.7716389344520048,0.02964928224151018,0.10573597050795813,3
compaction_MDD,none,m_mask,0.7716387514626616,0.029649507545209914,0.10573601150586354,3
compaction_MDD,none,m_mask_bias,0.7716387767886549,0.029649227279758387,0.10573600651098443,3
compaction_MDD,none,tabpfn,0.7716387642974629,0.029649437799184396,0.10573600883399115,3
compaction_MDD,none,tabpfn_mean,0.7716387642974629,0.029649437799184396,0.10573600883399115,3
diabetes,block2-5,hgb,-0.038243814456045556,0.18016175888364344,73.96258569713017,3
diabetes,block2-5,m_bias,0.16652240460432802,0.1138815076876917,66.37840111014737,3
diabetes,block2-5,m_mask,0.16777362000834142,0.11297944794579258,66.33336542521027,3
diabetes,block2-5,m_mask_bias,0.165823652643627,0.11195370745855825,66.41324377314898,3
diabetes,block2-5,tabpfn,0.1687162988021248,0.11454138252524895,66.29083269447428,3
diabetes,block2-5,tabpfn_mean,0.1567948602300474,0.10379014367495239,66.79710599761428,3
diabetes,block3-4of7,hgb,0.07430369055619979,0.1085385560116232,70.07738939875411,3
diabetes,block3-4of7,m_bias,0.2274355710911713,0.02478752320658051,64.10212819363257,3
diabetes,block3-4of7,m_mask,0.2376862525309548,0.021050053894930223,63.68448095257102,3
diabetes,block3-4of7,m_mask_bias,0.22965960070997996,0.02542785214068159,64.00835831828425,3
diabetes,block3-4of7,tabpfn,0.23652109752204,0.022546395258726547,63.7306405445082,3
diabetes,block3-4of7,tabpfn_mean,0.23873243503301508,0.01704375103517229,63.64076357753056,3
diabetes,mcar30,hgb,0.2109243733049246,0.11771931106752181,64.60431782469608,3
diabetes,mcar30,m_bias,0.3109735650527096,0.07226123949582641,60.42682005495371,3
diabetes,mcar30,m_mask,0.31908504743753335,0.07228751491861114,60.06779699879315,3
diabetes,mcar30,m_mask_bias,0.31532454358012535,0.07134793701646348,60.2381481576264,3
diabetes,mcar30,tabpfn,0.3148703008842287,0.07296916933356215,60.25157234108852,3
diabetes,mcar30,tabpfn_mean,0.29714123105958073,0.07379119294387754,61.03003026438941,3
diabetes,mcar50,hgb,0.23651860994833504,0.03945959157972082,63.71064327206193,3
diabetes,mcar50,m_bias,0.323413458973676,0.03143372526713414,59.97777453065288,3
diabetes,mcar50,m_mask,0.3211056079590627,0.03822299397914882,60.06980862594009,3
diabetes,mcar50,m_mask_bias,0.32078802554090874,0.03562189825032373,60.08675345837853,3
